Compound	Level	Data.File	Name	Acq..Date.Time	Pos.	Type	Vol.	FWHM	Area	RT	SN_ratio	Calculated_Concentration	Time	Concentration	LOD	SN_bi	Mean	Upper	Lower
AABA	0	Blasche-S3_P3-F8.d	Blasche-S3_P3-F8	11/8/23 0:07	P3-F8	Sample	0.2	0.041	6090	1.662	49.13	1.3528	120	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0.041	17385	1.662	103.63	3.8794	122	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A12.d	Blasche-S3_P3-A12	11/8/23 0:38	P3-A12	Sample	0.2	0.04	4833	1.662	211.74	1.0725	128	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0.041	17094	1.662	265.83	3.8142	130	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C10.d	Blasche-S3_P3-C10	11/7/23 21:52	P3-C10	Sample	0.2	0.04	7021	1.662	115.29	1.5606	87	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-C2.d	Blasche-S3_P3-C2	11/8/23 0:19	P3-C2	Sample	0.2	0.042	6240	1.668	81.38	1.3863	123	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E4.d	Blasche-S3_P3-E4	11/8/23 0:23	P3-E4	Sample	0.2	0.041	5864	1.662	70.94	1.3024	124	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-H9.d	Blasche-S3_P3-H9	11/8/23 0:27	P3-H9	Sample	0.2	0.04	5934	1.662	20	1.318	125	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-A11.d	Blasche-S3_P3-A11	11/8/23 0:11	P3-A11	Sample	0.2	0.04	5244	1.662	67.79	1.1642	121	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-E2.d	Blasche-S3_P3-E2	11/8/23 0:34	P3-E2	Sample	0.2	0.04	5710	1.662	101.02	1.2681	127	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
AABA	0	Blasche-S3_P3-B8.d	Blasche-S3_P3-B8	11/7/23 21:28	P3-B8	Sample	0.2	0.039	4738	1.662	71.8	1.0514	81	1000	0.16	Yes	1.66208270676692	1.74518684210526	1.57897857142857
