Name	Compound	Data.File	Acq..Date.Time	Pos.	Type	Vol.	Level	FWHM	Area	RT	SN_ratio	Calculated_Concentration	Time	Concentration_volumn_adjust	LOD	Area_mean	Max_Area	Within_detection	Factor	Calculated_concentration_reNorm	Factor_pqn	Calculated_concentration_reNorm_pqn
Blasche-S3_P3-A1	Nicotinic Acid	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.041	4539	0.419	162.53	0.0727	111	0.3635	0.16	9843	1128558	Lower	0.989847668236452	0.367228222750299	1.05333353446006	0.345094870815379
Blasche-S3_P3-A1	Kynurenine	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.048	522	1.307	207.63	0.0664	111	0.332	0.16	1008.33333333333	716755.333333333	Lower	0.989847668236452	0.335405144300136	1.05333353446006	0.315189813234404
Blasche-S3_P3-A1	Glutamine	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.03	164	2.02	11.25	0.2307	111	1.1535	0.16	152.666666666667	116342.333333333	Yes	0.989847668236452	1.16533082515122	1.05333353446006	1.09509472760809
Blasche-S3_P3-A1	Tyrosine	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.042	4617	1.597	8	1.3203	111	6.6015	0.064	258	151604	Yes	0.989847668236452	6.6692080123414	1.05333353446006	6.26724563875578
Blasche-S3_P3-A1	Lysine	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.036	173727	2.355	4325.68	81.4866	111	407.433	0.16	1370	198000	Yes	0.989847668236452	411.611819751919	1.05333353446006	386.80340715522
Blasche-S3_P3-A1	Cadaverine	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.039	64339	2.148	207.26	0.8436	111	4.218	0.16	17316	1409136	Yes	0.989847668236452	4.2612617429457	1.05333353446006	4.00442961512866
Blasche-S3_P3-A1	Aspartic acid	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.075	6497	2.172	33.09	23.1832	111	115.916	0.16	58	27590.3333333333	Yes	0.989847668236452	117.104887670767	1.05333353446006	110.046814430359
Blasche-S3_P3-A1	Homoserine	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.034	300	1.908	6.15	0.7548	111	3.774	0.16	74.3333333333333	35731	Yes	0.989847668236452	3.81270787526721	1.05333353446006	3.58291070827302
Blasche-S3_P3-A1	Alanine	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.038	110473	1.804	275.51	106.5514	111	532.757	0.16	951	105926	Upper	0.989847668236452	538.221200186468	1.05333353446006	505.781865449763
Blasche-S3_P3-A1	Glutamic acid	Blasche-S3_P3-A1.d	11/7/23 23:31	P3-A1	Sample	0.2	0	0.035	26112	2.025	670.45	32.1439	111	160.7195	0.16	284.333333333333	80132	Yes	0.989847668236452	162.367912919716	1.05333353446006	152.581774663033
