Nicotinic Acid	Pyridoxal	Pyridoxine	Dopamine	Leucine	Phenylalanine	Tryptophan	Isoleucine	Kynurenine	Methionine	Valine	Tyrosine	AABA	Alanine	Pyridoxamine	Threonine	Homoserine	Glycine	Glutamine	Glutamic acid	Serine	Asparagine	Citrulline	Agmatine	GABA	Cadaverine	Aspartic acid	Histidine	Arginine	Lysine	Proline	Ornithine
QC_1	137618	772658	1273932	248822	1056619	273439	88154	591497	18712	20351	425924	12475	17284	186587	560643	2673	621	3119	1622	52933	986	218	3822	335296	27688	1203144	1058	61000	255710	89729	58395	6082
Blasche-S3_P3-E10	3882	1228	108	158	749335	199050	64434	364445	364	16250	306939	4801	6482	115481	1213	20149	229	1701	1491	29899	11551	2190	574	6932	1583	61205	5964	46892	183427	159025	40291	6984
Blasche-S3_P3-E12	4290	1592	293	153	736300	190749	62005	360516	383	15605	303073	4741	5141	114024	1111	18872	222	1570	1390	29401	11372	2101	621	6818	1628	61390	5839	45680	183248	156219	44253	6319
Blasche-S3_P3-H5	4044	511	1559	157	657834	182463	63938	316399	382	18928	358435	6837	5087	141977	1827	15818	293	1666	4389	26877	12993	2070	648	13851	1767	65878	1658	73183	201995	225941	49051	9622
Blasche-S3_P3-E7	4051	1573	14	196	730880	189276	60613	363728	369	15413	300232	4724	5534	113356	1066	18687	214	1665	1403	29066	10891	2098	622	6419	1532	60035	5934	43059	183791	157167	42879	6526
Blasche-S3_P3-C6	5013	600	2102	470	704860	180622	61136	343373	406	15069	287311	5703	6482	118346	641	21034	203	2100	1530	31836	11538	3421	798	6421	1514	61769	6692	63759	204330	212388	46045	7046
Blasche-S3_P3-A4	4221	506	1449	189	645620	161740	61802	339703	394	12878	228638	4186	4652	100473	725	21379	272	1693	130	24208	14393	3113	620	3967	1635	61960	6881	35621	192666	164658	44219	6891
QC_2	136628	756189	1246062	253992	1055504	264055	85166	596519	18186	20156	427391	12245	17561	181762	545537	2649	533	3145	1564	51725	886	148	3964	332870	26879	1188320	1074	61394	251546	88540	58536	5732
Blasche-S3_P3-H10	4065	623	1584	197	680063	185699	64715	328590	404	19508	374559	7132	4905	150550	1878	15868	212	1893	4200	27203	12989	1636	674	14569	1692	68574	1866	75586	209170	231321	49312	10041
Blasche-S3_P3-G5	4053	729	1764	315	616641	171877	59991	291766	376	17661	330376	6130	4981	135214	1578	15629	156	1511	3851	25571	12542	2216	715	12474	1899	67695	1618	68199	198999	212512	47442	9286
Blasche-S3_P3-D10	5307	396	1510	338	664718	165593	56109	321460	404	13838	265179	4983	6664	111069	421	19993	233	1752	793	29641	10017	3117	731	5702	1405	59102	6352	57014	206111	209526	46651	6755
