Data.File	Name	Acq..Date.Time	Pos.	Type	Vol.	Level	FWHM	Area	RT	SN_ratio	Calculated_Concentration	Compound	Time	SD	Mean	Upper	Lower	Warning	Deviation
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.035	9918	0.347	177.77	0	Caffeine	2	202.595964915395	9877	12346.25	7407.75	No	0.00415105801356687
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.035	9865	0.347	109.12	0	Caffeine	12	202.595964915395	9877	12346.25	7407.75	No	0.00121494380884884
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.035	10013	0.347	2573.41	0	Caffeine	19	202.595964915395	9877	12346.25	7407.75	No	0.0137693631669535
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.035	10048	0.347	304.74	0	Caffeine	26	202.595964915395	9877	12346.25	7407.75	No	0.017312949276096
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.035	9783	0.347	97.53	0	Caffeine	34	202.595964915395	9877	12346.25	7407.75	No	0.00951705983598259
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.035	9956	0.347	8	0	Caffeine	44	202.595964915395	9877	12346.25	7407.75	No	0.00799838007492154
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.035	9670	0.347	125.59	0	Caffeine	51	202.595964915395	9877	12346.25	7407.75	No	0.0209577807026425
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.035	9576	0.347	2102.31	0	Caffeine	58	202.595964915395	9877	12346.25	7407.75	No	0.0304748405386251
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.035	10040	0.347	4728.83	0	Caffeine	66	202.595964915395	9877	12346.25	7407.75	No	0.0165029867368634
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.035	10009	0.347	2243.22	0	Caffeine	76	202.595964915395	9877	12346.25	7407.75	No	0.0133643818973372
QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0	0.035	9770	0.347	86.34	0	Caffeine	83	202.595964915395	9877	12346.25	7407.75	No	0.0108332489622355
QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0	0.035	9874	0.347	8	0	Caffeine	90	202.595964915395	9877	12346.25	7407.75	No	0.00030373595221221
QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0	0.035	10160	0.347	8050.48	0	Caffeine	98	202.595964915395	9877	12346.25	7407.75	No	0.0286524248253518
QC_14.d	QC_14	11/7/23 23:19	Vial 1	Sample	0.2	0	0.035	9421	0.347	96.04	0	Caffeine	108	202.595964915395	9877	12346.25	7407.75	No	0.046167864736256
QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0	0.035	9678	0.347	2338.87	0	Caffeine	115	202.595964915395	9877	12346.25	7407.75	No	0.0201478181634099
QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0	0.035	10011	0.347	2024.94	0	Caffeine	122	202.595964915395	9877	12346.25	7407.75	No	0.0135668725321454
QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0	0.035	10117	0.347	142.21	0	Caffeine	130	202.595964915395	9877	12346.25	7407.75	No	0.0242988761769768
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.032	576116	0.388	131536.56	0	Donepezil	2	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00457393234994757
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.032	577514	0.388	60957.93	0	Donepezil	12	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00701162607382476
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.032	578133	0.388	84794.36	0	Donepezil	19	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00809097687144992
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.032	572270	0.388	70427.45	0	Donepezil	26	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00213234094192055
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.032	619198	0.388	79729.19	0	Donepezil	34	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.0796960503843372
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.032	566364	0.388	46565.76	0	Donepezil	44	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.0124306378898595
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.032	559365	0.388	78359.35	0	Donepezil	51	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.0246347998164807
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.032	560005	0.388	78762.31	0	Donepezil	58	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.0235188313019732
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.032	576303	0.388	167533.52	0	Donepezil	66	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00490000440028022
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.032	570243	0.388	100505.39	0	Donepezil	76	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00566682247146208
QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0	0.032	601692	0.388	55023.23	0	Donepezil	83	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.049170824110951
QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0	0.032	572835	0.388	85856.78	0	Donepezil	90	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00114714998770696
QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0	0.032	558124	0.388	50152.77	0	Donepezil	98	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.0267987325141427
QC_14.d	QC_14	11/7/23 23:19	Vial 1	Sample	0.2	0	0.032	553713	0.388	47638.1	0	Donepezil	108	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.0344901967602245
QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0	0.032	559502	0.388	58845.16	0	Donepezil	115	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.0243959128063439
QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0	0.032	575594	0.388	45721.89	0	Donepezil	122	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00366372053030245
QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0	0.032	572408	0.388	90078.73	0	Donepezil	130	16221.5892519905	573492.882352941	716866.102941177	430119.661764706	No	0.00189171023097989
QC_1.d	QC_1	11/7/23 16:10	Vial 1	Sample	0.2	0	0.042	137618	0.419	367.41	2.3781	Nicotinic Acid	2	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00507239123271518
QC_2.d	QC_2	11/7/23 16:49	Vial 1	Sample	0.2	0	0.043	136628	0.419	4147.33	2.3609	Nicotinic Acid	12	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00215792505817982
QC_3.d	QC_3	11/7/23 17:17	Vial 1	Sample	0.2	0	0.043	136332	0.419	7094.14	2.3558	Nicotinic Acid	19	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00431971659565954
QC_4.d	QC_4	11/7/23 17:45	Vial 1	Sample	0.2	0	0.043	137549	0.414	7121.53	2.3769	Nicotinic Acid	26	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00456846009728916
QC_5.d	QC_5	11/7/23 18:17	Vial 1	Sample	0.2	0	0.043	137267	0.419	4617.81	2.372	Nicotinic Acid	34	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.0025089154568524
QC_6.d	QC_6	11/7/23 19:01	Vial 1	Sample	0.2	0	0.043	135450	0.419	240.18	2.3405	Nicotinic Acid	44	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.010761271109366
QC_7.d	QC_7	11/7/23 19:28	Vial 1	Sample	0.2	0	0.043	134240	0.419	7595.75	2.3195	Nicotinic Acid	51	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.0195983243537932
QC_8.d	QC_8	11/7/23 19:56	Vial 1	Sample	0.2	0	0.043	135428	0.419	3499.33	2.3401	Nicotinic Acid	58	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.0109219448047192
QC_9.d	QC_9	11/7/23 20:28	Vial 1	Sample	0.2	0	0.043	137344	0.419	9950.52	2.3733	Nicotinic Acid	66	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00307127339058868
QC_10.d	QC_10	11/7/23 21:08	Vial 1	Sample	0.2	0	0.044	135645	0.419	3735.84	2.3439	Nicotinic Acid	76	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00933711790055334
QC_11.d	QC_11	11/7/23 21:36	Vial 1	Sample	0.2	0	0.044	137645	0.414	534.5	2.3785	Nicotinic Acid	83	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00526958167701231
QC_12.d	QC_12	11/7/23 22:03	Vial 1	Sample	0.2	0	0.044	137747	0.414	369.79	2.3803	Nicotinic Acid	90	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00601452335546816
QC_13.d	QC_13	11/7/23 22:35	Vial 1	Sample	0.2	0	0.044	139385	0.414	5641.37	2.4087	Nicotinic Acid	98	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.0179774103094944
QC_14.d	QC_14	11/7/23 23:19	Vial 1	Sample	0.2	0	0.044	133397	0.419	1020.51	2.305	Nicotinic Acid	108	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.0257550482257371
QC_15.d	QC_15	11/7/23 23:47	Vial 1	Sample	0.2	0	0.044	137731	0.414	217.82	2.38	Nicotinic Acid	115	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.00589766975884764
QC_16.d	QC_16	11/8/23 0:15	Vial 1	Sample	0.2	0	0.044	139135	0.414	6557.24	2.4043	Nicotinic Acid	122	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.0161515728622987
QC_17.d	QC_17	11/8/23 0:47	Vial 1	Sample	0.2	0	0.044	139158	0.414	7214.3	2.4047	Nicotinic Acid	130	1678.51720715216	136923.470588235	171154.338235294	102692.602941176	No	0.0163195499074407
